Date,Open,High,Low,Close,Volume,Market Cap
2018-11-09,88.3,89.57,50.68,68.75,2585660,
2018-11-10,70.27,98.51,61.19,87.06,4748070,
2018-11-11,87.7,125.11,83.15,113.47,8902820,
2018-11-12,116.45,123.56,104.45,112.06,10779600,
2018-11-13,109.9,208.4,109.3,208.4,20708000,
2018-11-14,205.76,243.78,155.38,174.81,36795500,
2018-11-15,176.28,179.51,70.97,93.7,40105900,
2018-11-16,94.47,134.29,76.79,122.97,180605000,
2018-11-17,123.29,143.03,122.14,130.48,200816000,
2018-11-18,130.29,130.75,105.29,106.22,83486800,
2018-11-19,105.84,107.71,69.66,72.11,97310700,
2018-11-20,71.65,72.97,48.38,50.66,124675000,
2018-11-21,51.12,54.24,48.69,50.75,56414700,
2018-11-22,50.72,51.55,42.75,42.75,32667900,
2018-11-23,42.5,59.47,36.87,54.03,118574000,
2018-11-24,52.82,68.25,50.7,58.5,172732000,
2018-11-25,60.28,91.54,57.32,87.38,379158000,
2018-11-26,88.74,125.53,87.92,111.7,589274000,1952224634.0
2018-11-27,113.42,121.87,84.95,91.94,296211000,1606993185.0
2018-11-28,90.62,103.89,80.95,97.94,308722000,1711710041.0
2018-11-29,97.93,100.3,91.84,98.07,130600465,1714035178.0
2018-11-30,97.29,106.35,92.84,95.28,166060949,1665338348.0
2018-12-01,95.11,96.63,87.85,93.54,75286999,1634820282.0
2018-12-02,93.0,103.36,92.6,100.37,108434556,1754285184.0
2018-12-03,99.88,100.19,91.23,94.46,79018303,1650988749.0
2018-12-04,94.32,94.75,89.92,90.18,56754945,1576176080.0
2018-12-05,90.22,93.65,84.58,86.31,75407123,1508531943.0
2018-12-06,86.16,110.14,86.16,103.69,194059088,1812321980.0
2018-12-07,103.52,113.67,94.82,103.88,217760983,1815577191.0
2018-12-08,103.79,104.08,96.35,98.68,76137934,1724720837.0
2018-12-09,98.42,99.71,93.23,97.42,72826742,1702607764.0
2018-12-10,97.37,101.5,95.23,95.32,63688727,1668422467.0
2018-12-11,95.34,95.34,87.26,90.24,63771772,1579730163.0
2018-12-12,90.02,92.58,88.04,88.84,42144081,1555368511.0
2018-12-13,88.73,88.88,77.53,78.37,58473172,1372187886.0
2018-12-14,78.37,81.28,69.94,70.27,66921657,1230477651.0
2018-12-15,69.98,73.15,64.52,68.14,61398931,1193239758.0
2018-12-16,67.92,79.28,67.62,77.34,95335466,1354525811.0
2018-12-17,78.52,82.41,75.27,81.7,106775615,1431003874.0
2018-12-18,81.75,85.11,77.32,84.61,112996794,1482162325.0
2018-12-19,84.41,96.97,82.74,86.51,188633838,1515620025.0
2018-12-20,85.5,119.52,85.12,112.03,424270497,1962852761.0
2018-12-21,110.22,134.59,103.09,108.42,492080721,1899793934.0
2018-12-22,109.33,114.73,102.49,109.09,207087564,1911738033.0
2018-12-23,108.98,113.85,105.31,106.97,168248047,1874808177.0
2018-12-24,107.4,113.25,101.48,102.46,168359714,1795953737.0
2018-12-25,102.55,102.55,90.29,93.45,146914405,1638246086.0
2018-12-26,93.37,98.89,91.47,94.51,118701099,1656919625.0
2018-12-27,94.8,98.45,84.59,84.87,92318856,1488076181.0
2018-12-28,85.28,94.5,82.7,93.64,113487961,1641882041.0
