Date,Open,High,Low,Close,Volume,Market Cap
2015-03-06,1.0,1.0,1.0,1.0,93,251600
2015-03-07,1.0,1.0,1.0,1.0,58197,251600
2015-03-08,1.0,1.0,1.0,1.0,31,251600
2015-03-09,1.0,1.0,1.0,1.0,143,251600
2015-03-10,1.0,1.0,1.0,1.0,49997,251600
2015-03-11,1.0,1.0,1.0,1.0,49,251600
2015-03-12,1.0,1.0,1.0,1.0,80418,251600
2015-03-13,1.0,1.0,1.0,1.0,75,251600
2015-03-14,1.0,1.0,1.0,1.0,17705,251600
2015-03-15,1.0,1.0,1.0,1.0,15125,251600
2015-03-16,1.0,1.0,1.0,1.0,49632,251600
2015-03-17,1.0,1.0,1.0,1.0,4284,251600
2015-03-18,1.0,1.0,1.0,1.0,202,251600
2015-03-19,1.0,1.0,1.0,1.0,714,251600
2015-03-20,1.0,1.0,1.0,1.0,133,251600
2015-03-21,1.0,1.0,1.0,1.0,206,251600
2015-03-22,1.0,1.0,1.0,1.0,67,251600
2015-03-23,1.0,1.0,1.0,1.0,66,251600
2015-03-24,1.0,1.0,1.0,1.0,1179,251600
2015-03-25,1.0,1.0,1.0,1.0,92,251600
2015-03-26,1.0,1.0,1.0,1.0,2,251600
2015-03-27,1.0,1.0,1.0,1.0,5,251600
2015-03-28,1.0,1.0,1.0,1.0,17,251600
2015-03-29,1.0,1.0,1.0,1.0,21,251600
2015-03-30,1.0,1.0,1.0,1.0,495,251600
2015-03-31,1.0,1.0,1.0,1.0,37,251600
2015-04-01,1.0,1.0,1.0,1.0,14,251600
2015-04-02,1.0,1.0,1.0,1.0,79970,251600
2015-04-03,1.0,1.0,1.0,1.0,8887,251600
2015-04-04,1.0,1.0,1.0,1.0,2018,251600
2015-04-05,1.0,1.0,1.0,1.0,2887,251600
2015-04-06,1.0,1.0,1.0,1.0,254,251600
2015-04-07,1.0,1.0,1.0,1.0,19179,251600
2015-04-08,1.0,1.0,1.0,1.0,1024,251600
2015-04-09,1.0,1.0,1.0,1.0,100949,251600
2015-04-10,1.0,1.0,1.0,1.0,470,251600
2015-04-11,1.0,1.0,1.0,1.0,2869,251600
2015-04-12,1.0,1.0,1.0,1.0,1971,251600
2015-04-13,1.0,1.0,1.0,1.0,46026,251600
2015-04-14,1.0,1.0,1.0,1.0,50324,251600
2015-04-15,1.0,1.0,1.0,1.0,40700,251600
2015-04-16,1.0,1.0,1.0,1.0,46909,251600
2015-04-17,1.0,1.0,1.0,1.0,50,251600
2015-04-18,1.0,1.0,1.0,1.0,49,251600
2015-04-19,1.0,1.0,1.0,1.0,22,251600
2015-04-20,1.0,1.0,1.0,1.0,38,251600
2015-04-21,1.0,1.0,1.0,1.0,85933,251600
2015-04-22,1.0,1.0,1.0,1.0,40306,251600
2015-04-23,1.0,1.0,1.0,1.0,21632,251600
2015-04-24,1.0,1.0,1.0,1.0,20262,251600
2015-04-25,1.0,1.0,1.0,1.0,26,251600
2015-04-26,1.0,1.0,1.0,1.0,555,251600
2015-04-27,1.0,1.0,1.0,1.0,17806,251600
2015-04-28,1.0,1.0,1.0,1.0,42628,251600
2015-04-29,1.0,1.0,1.0,1.0,12,251600
2015-04-30,1.0,1.0,1.0,1.0,613,251600
2015-05-01,1.0,1.0,1.0,1.0,48,251600
2015-05-02,1.0,1.0,1.0,1.0,4,251600
2015-05-03,1.0,1.0,1.0,1.0,1518,251600
2015-05-04,1.0,1.0,1.0,1.0,83171,251600
2015-05-05,1.0,1.0,1.0,1.0,21,251600
2015-05-06,1.0,1.0,1.0,1.0,10,251600
2015-05-07,1.0,1.0,1.0,1.0,120,251600
2015-05-08,1.0,1.0,1.0,1.0,546,251600
2015-05-09,1.0,1.0,1.0,1.0,171,251600
2015-05-10,1.0,1.0,1.0,1.0,2466,251600
2015-05-11,1.0,1.0,1.0,1.0,584,251600
2015-05-12,1.0,1.0,1.0,1.0,5,251600
2015-05-13,1.0,1.0,1.0,1.0,0,251600
2015-05-14,1.0,1.0,1.0,1.0,2185,251600
2015-05-15,1.0,1.0,1.0,1.0,92,251600
